YEAR(ORIGINATION_TS),MONTHNAME(ORIGINATION_TS),STATE_CD,PRODUCT_CD,Customer Channel,CUSTOMER_TYPE,CNT
2022,Apr,AL,ILP,DIGITAL,NEW,17
2022,Apr,AL,ILP,DIGITAL,NON_NEW,86
2022,Apr,AL,ILP,PHYSICAL,NEW,40
2022,Apr,AL,ILP,PHYSICAL,NON_NEW,451
2022,Apr,AL,ILP,PHYSICAL,,5
2022,Apr,AL,ILP,UNKNOWN,,3
2022,Apr,AL,PDL,DIGITAL,NEW,142
2022,Apr,AL,PDL,DIGITAL,NON_NEW,1529
2022,Apr,AL,PDL,DIGITAL,,4
2022,Apr,AL,PDL,PHYSICAL,NEW,929
2022,Apr,AL,PDL,PHYSICAL,NON_NEW,16179
2022,Apr,AL,PDL,PHYSICAL,,60
2022,Apr,AL,PDL,UNKNOWN,,14
2022,Apr,AL,PDL,,NEW,1
2022,Apr,AL,PDL,,NON_NEW,1
2022,Apr,CA,PDL,DIGITAL,NEW,1109
2022,Apr,CA,PDL,DIGITAL,NON_NEW,13800
2022,Apr,CA,PDL,DIGITAL,,35
2022,Apr,CA,PDL,PHYSICAL,NEW,2478
2022,Apr,CA,PDL,PHYSICAL,NON_NEW,61918
2022,Apr,CA,PDL,PHYSICAL,,199
2022,Apr,CA,PDL,UNKNOWN,,41
2022,Apr,CO,ILP,DIGITAL,NEW,170
2022,Apr,CO,ILP,DIGITAL,NON_NEW,343
2022,Apr,CO,ILP,DIGITAL,,1
2022,Apr,CO,ILP,PHYSICAL,NEW,282
2022,Apr,CO,ILP,PHYSICAL,NON_NEW,2340
2022,Apr,CO,ILP,PHYSICAL,,12
2022,Apr,CO,ILP,UNKNOWN,,5
2022,Apr,DE,ILP,DIGITAL,NEW,23
2022,Apr,DE,ILP,DIGITAL,NON_NEW,57
2022,Apr,DE,ILP,DIGITAL,,1
2022,Apr,DE,ILP,PHYSICAL,NEW,118
2022,Apr,DE,ILP,PHYSICAL,NON_NEW,233
2022,Apr,DE,ILP,PHYSICAL,,6
2022,Apr,DE,ILP,UNKNOWN,,5
2022,Apr,FL,ILP,DIGITAL,NEW,475
2022,Apr,FL,ILP,DIGITAL,NON_NEW,2790
2022,Apr,FL,ILP,DIGITAL,,12
2022,Apr,FL,ILP,PHYSICAL,NEW,1450
2022,Apr,FL,ILP,PHYSICAL,NON_NEW,14867
2022,Apr,FL,ILP,PHYSICAL,,39
2022,Apr,FL,ILP,UNKNOWN,,20
2022,Apr,FL,PDL,DIGITAL,NEW,303
2022,Apr,FL,PDL,DIGITAL,NON_NEW,4349
2022,Apr,FL,PDL,DIGITAL,,9
2022,Apr,FL,PDL,PHYSICAL,NEW,1320
2022,Apr,FL,PDL,PHYSICAL,NON_NEW,38255
2022,Apr,FL,PDL,PHYSICAL,,111
2022,Apr,FL,PDL,UNKNOWN,,24
2022,Apr,IA,PDL,DIGITAL,NEW,86
2022,Apr,IA,PDL,DIGITAL,NON_NEW,684
2022,Apr,IA,PDL,DIGITAL,,1
2022,Apr,IA,PDL,PHYSICAL,NEW,328
2022,Apr,IA,PDL,PHYSICAL,NON_NEW,9658
2022,Apr,IA,PDL,PHYSICAL,,35
2022,Apr,IA,PDL,UNKNOWN,,10
2022,Apr,ID,ILP,DIGITAL,NEW,25
2022,Apr,ID,ILP,DIGITAL,NON_NEW,19
2022,Apr,ID,ILP,PHYSICAL,NEW,37
2022,Apr,ID,ILP,PHYSICAL,NON_NEW,134
2022,Apr,ID,ILP,PHYSICAL,,2
2022,Apr,IN,PDL,DIGITAL,NEW,245
2022,Apr,IN,PDL,DIGITAL,NON_NEW,1253
2022,Apr,IN,PDL,DIGITAL,,3
2022,Apr,IN,PDL,PHYSICAL,NEW,1073
2022,Apr,IN,PDL,PHYSICAL,NON_NEW,16675
2022,Apr,IN,PDL,PHYSICAL,,44
2022,Apr,IN,PDL,UNKNOWN,,14
2022,Apr,KS,PDL,DIGITAL,NEW,39
2022,Apr,KS,PDL,DIGITAL,NON_NEW,419
2022,Apr,KS,PDL,DIGITAL,,2
2022,Apr,KS,PDL,PHYSICAL,NEW,143
2022,Apr,KS,PDL,PHYSICAL,NON_NEW,4211
2022,Apr,KS,PDL,PHYSICAL,,33
2022,Apr,KS,PDL,UNKNOWN,,7
2022,Apr,KY,PDL,DIGITAL,NON_NEW,1
2022,Apr,KY,PDL,PHYSICAL,NEW,496
2022,Apr,KY,PDL,PHYSICAL,NON_NEW,8382
2022,Apr,KY,PDL,PHYSICAL,,18
2022,Apr,LA,PDL,DIGITAL,NEW,142
2022,Apr,LA,PDL,DIGITAL,NON_NEW,2456
2022,Apr,LA,PDL,DIGITAL,,3
2022,Apr,LA,PDL,PHYSICAL,NEW,870
2022,Apr,LA,PDL,PHYSICAL,NON_NEW,15122
2022,Apr,LA,PDL,PHYSICAL,,42
2022,Apr,LA,PDL,UNKNOWN,,12
2022,Apr,MI,PDL,DIGITAL,NEW,464
2022,Apr,MI,PDL,DIGITAL,NON_NEW,7938
2022,Apr,MI,PDL,DIGITAL,,21
2022,Apr,MI,PDL,PHYSICAL,NEW,1877
2022,Apr,MI,PDL,PHYSICAL,NON_NEW,35915
2022,Apr,MI,PDL,PHYSICAL,,100
2022,Apr,MI,PDL,UNKNOWN,,31
2022,Apr,MO,ILP,DIGITAL,NEW,102
2022,Apr,MO,ILP,DIGITAL,NON_NEW,268
2022,Apr,MO,ILP,DIGITAL,,5
2022,Apr,MO,ILP,PHYSICAL,NEW,416
2022,Apr,MO,ILP,PHYSICAL,NON_NEW,1302
2022,Apr,MO,ILP,PHYSICAL,,19
2022,Apr,MO,ILP,UNKNOWN,,21
2022,Apr,MO,PDL,DIGITAL,NEW,51
2022,Apr,MO,PDL,DIGITAL,NON_NEW,850
2022,Apr,MO,PDL,DIGITAL,,4
2022,Apr,MO,PDL,PHYSICAL,NEW,404
2022,Apr,MO,PDL,PHYSICAL,NON_NEW,5563
2022,Apr,MO,PDL,PHYSICAL,,27
2022,Apr,MO,PDL,UNKNOWN,,13
